"name","chrlocation","cytoband","type","frequency","pmid"
"FRA1A","1-28000000","1p36","Aphidicolin","Common","1322577"
"FRA1B","50700001-61300000","1p32","Aphidicolin","Common","18008369"
"FRA1C","68900001-69700000","1p31.2","Aphidicolin","Common","1865478"
"FRA1D","84900001-94700000","1p22","Aphidicolin","Common","1865478"
"FRA1E","99700001-102200000","1p21","Aphidicolin","Common","16556484"
"FRA1F","142600001-155000000","1q21","Aphidicolin","Common","27625703"
"FRA1G","172900001-176000000","1q25.1","Aphidicolin","Common","16981993"
"FRA1H","224100001-236600000","1q42","5-azacytidine","Common","17311248"
"FRA1I","243700001-249250621","1q44","Aphidicolin","Common","25034695"
"FRA1J","128900001-142600000","1q12","5-azacytidine","Common","20198338"
"FRA1K","185800001-198700000","1q31","Aphidicolin","Common","20198338"
"FRA1L","61300001-84900000","1p31","Aphidicolin","Common","3100418"
"FRA1M","94700001-99700000","1p21.3","Folic acid","Rare","7736782"
"FRA2A","96800001-102700000","2q11.2","Folic acid","Rare","20198338"
"FRA2B","110200001-114400000","2q13","Folic acid","Rare","1572659"
"FRA2C","16700001-19200000","2p24.2","Aphidicolin","Common","21258086"
"FRA2D","52900001-55000000","2p16.2","Aphidicolin","Common","20198338"
"FRA2E","68600001-75000000","2p13","Aphidicolin","Common","15241441"
"FRA2F","135100001-136800000","2p21.3","Aphidicolin","Common","14562053"
"FRA2G","169700001-183000000","2p31","Aphidicolin","Common","12620385"
"FRA2H","52900001-55000000","2q32.1","Aphidicolin","Common","22476624"
"FRA2I","197400001-209000000","2q33","Aphidicolin","Common","17567780"
"FRA2J","237300001-243199373","2q37.3","Aphidicolin","Common","1840562"
"FRA2K","144100001-148700000","2q22.3","Folic acid","Rare","17567780"
"FRA2L","83300001-90500000","2q22.3","Folic acid","Rare","8793213"
"FRA2S","44100001-154900000","2q23.3","Aphidicolin","Common","20851513"
"FRA3A","23900001-26400000","3p24.2","Aphidicolin","Common","6430783"
"FRA3B","58600001-63700000","3p14.2","Aphidicolin","Common","12483524"
"FRA3C","182700001-187900000","3q27","Aphidicolin","Common","8406484"
"FRA3D","148900001-160700000","3p25","Aphidicolin","Common","17567780"
"FRA4A","6000001-11300000","4p16.1","Aphidicolin","Common","17567780"
"FRA4B","52700001-59500000","4p12","BrdU","Common","17567780"
"FRA4C","139500001-141500000","4q31.1","Aphidicolin","Common","17567780"
"FRA4D","11300001-35800000","4p15","Aphidicolin","Common","17567780"
"FRA4E","88000001-98800000","4q22","Aphidicolin","Common","15286716"
"FRA5A","28900001-42500000","5p13","BrdU","Common","16981993"
"FRA5B","92300001-98200000","5q15","BrdU","Common","16981993"
"FRA5C","130600001-136200000","5q31.1","Aphidicolin","Common","14670176"
"FRA5D","92300001-93916228","5q15","Aphidicolin","Common","14562053"
"FRA5E","18400001-28900000","5p14","Aphidicolin","Common","14562053"
"FRA5F","98200001-109600000","5q21","Aphidicolin","Common","3203541"
"FRA5G","168500001-180915260","5q35","Folic acid","Rare","15650228"
"FRA5H","50500001-63000000","5q11.2","Aphidicolin","Common","23911288"
"FRA6A","13400001-15200000","6p23","Folic acid","Rare","8750194"
"FRA6B","4200001-7100000","6p25.1","Aphidicolin","Common","8750194"
"FRA6C","25200001-27000000","6p22.2","Aphidicolin","Common","11085503"
"FRA6D","70000001-75900000","6q13","BrdU","Common","2579891"
"FRA6E","161000001-164500000","6q26","Aphidicolin","Common","12874785"
"FRA6F","105500001-114600000","6q21","Aphidicolin","Common","12370818"
"FRA6G","88000001-93100000","6q15","Aphidicolin","Common","14571130"
"FRA6H","30400001-46200000","6p21","Aphidicolin","Common","17290399"
"FRA7A","54000001-58000000","7p11.2","Folic acid","Rare","3290488"
"FRA7B"," 1-7300000","7p22","Aphidicolin","Common","20804921"
"FRA7C","35000001-37200000","7p14.2","Aphidicolin","Common","3290488"
"FRA7D","43300001-45400000","7p13","Aphidicolin","Common","3290488"
"FRA7E","91100001-92800000","7q21.2","Aphidicolin","Common","14517285"
"FRA7F","98000001-107400000","7q22","Aphidicolin","Common","3290488"
"FRA7G"," 114600001-117400000","7p31.2","Aphidicolin","Common","10950921"
"FRA7H","130400001-132600000","7p32.3","Aphidicolin","Common","9653154"
"FRA7I","147900001-159138663","7q36","Aphidicolin","Common","12393800"
"FRA7J","59900001-77500000 ","7q11","Aphidicolin","Common","16236432"
"FRA7K","107200001-11440000","7q31","Aphidicolin","Common","17039484"
"FRA8A","101600001-106200000","8q22.3","Folic acid","Rare","3864602"
"FRA8B","93300001-99000000","8q22.1","Aphidicolin","Common","14562053"
"FRA8C","117700001-127300000","8q24.1","Aphidicolin","Common","14562053"
"FRA8D","139900001-146364022","8q24.3","Aphidicolin","Common","15381365"
"FRA8E","117700001-127300000","8q24.1","DistamycinA","Rare","9460496"
"FRA9B","114900001-117700000","9q32","Folic acid","Rare","2714776"
"FRA9C","19900001-33200000","9p21","BrdU","Common","2579891"
"FRA9D","90400001-91800000","9q22.1","Aphidicolin","Common","14562053"
"FRA9E","108383900-118069329","9q32","Aphidicolin","Common","12555072"
"FRA9F","50700001-65900000","9q12","5-azacytidine","Common","2579891"
"FRA9G","16600001-18500000","9p22.2","Aphidicolin","Common","17668870"
"FRA10A","97000000-1089500001","10q23.3","Folic acid","Rare","3879149"
"FRA10B","97000000-1089500001","10q25.2","BrdU","Rare","7124730"
"FRA10C","52900001-70600000","10q21","BrdU","Common","2579891"
"FRA10D","74900000-1070600001","10q22.1","Aphidicolin","Common","16221525"
"FRA10E","112987340-113136936","10q25.2","Aphidicolin","Common","16236432"
"FRA10F","119100001-127500000","10q26.1","Aphidicolin","Common","23109895"
"FRA10G","42300001-52900000","10q11.2","Aphidicolin","Common","20101222"
"FRA11A","68400001-70400000","11q13.3","Folic acid","Rare","18160775"
"FRA11B","114500001-121200000","11q23.3","Folic acid","Rare","17063465"
"FRA11C","16200001-21700000","11p15.1","Aphidicolin","Common","15771901"
"FRA11D","26100001-27200000","11p14.2","Aphidicolin","Common","15771901"
"FRA11E","31000001-36400000","11p13","Aphidicolin","Common","16511518"
"FRA11F","85600001-88300000","11q14.2","Aphidicolin","Common","16221525"
"FRA11G","113109646-117672914","11q23.3","Aphidicolin","Common","17063465"
"FRA11H","63400001-77100000","11q13","Aphidicolin","Common","23852038"
"FRA11I","16100001-21600000","11p15.1","DistamycinA","Rare","3169734"
"FRA12A","46400001-54900000","12q13.1","Folic acid","Rare","8833161"
"FRA12B","80300001-92600000","12q21.3","Aphidicolin","Common","20647332"
"FRA12C","114300001-120700000","12q24.2","BrdU","Rare","3338802"
"FRA12D","112300001-114300000","12q24.13","Folic acid","Rare","14526166"
"FRA12E","109000001-133851895","12q24","Aphidicolin","Common","14526166"
"FRA13A","34000001-35500000","13q13.2","Aphidicolin","Common","16244873"
"FRA13B","55300001-73300000","13q21","BrdU","Common","14526168"
"FRA13C","57600001-60500000","13q21.2","Aphidicolin","Common","14526168"
"FRA13D","95000001-101700000","13q32","Aphidicolin","Common","14526168"
"FRA13E","73300001-79000000","13q22","Aphidicolin","Common","17290399"
"FRA14B","58100001-67900000","14q23","Aphidicolin","Common","100769"
"FRA14C","67900001-70200000","14q24.1","Aphidicolin","Common","14562053"
"FRA15A","59100001-67500000","15q22","Aphidicolin","Common","16462772"
"FRA16A","14800001-16800000","16p13.11","Folic acid","Rare","2714795"
"FRA16B","66700001-70800000","16q22.1","DistamycinA","Rare","3338799"
"FRA16C","63917503-63934965","16q22.1","Aphidicolin","Common","16236432"
"FRA16D","79200001-81700000","16q23.2","Aphidicolin","Common","11013073"
"FRA16E","24200001-28100000","16p12.1","DistamycinA","Common","3409200"
"FRA17A","10700001-16000000","17p12","DistamycinA","Rare","2714776"
"FRA17B","57600001-58300000","17q23.1","Aphidicolin","Common","11085503"
"FRA18A","32700001-37200000","18q12.2","Aphidicolin","Common","25238782"
"FRA18B","53800001-61600000","18q21.3","Aphidicolin","Common","25238782"
"FRA18C","66800001-68700000","18q22.2","Aphidicolin","Common","17475918"
"FRA19A","32400001-59128983","19q13","5-azacytidine","Common","2579891"
"FRA19B","1-20000000","19p13","Folic acid","Rare","3568428"
"FRA20A","17900001-21300000","20p11.23","Folic acid","Rare","453198"
"FRA20B","9200001-12100000","20p12.2","Aphidicolin","Common","453198"
"FRA21A","14300000-16400000","21q11.2","Aphidicolin","Common","10326596"
"FRA21A","14300000-16400001","21q11.2","Aphidicolin","Common","1424804"
"FRA22A","35900001-49691432","22q13","Folic acid","Rare","16221525"
"FRA22B","29600001-32200000","22q12.2","Aphidicolin","Common","11746990"
"FRAXA","141900001-147100000","Xq27.3","Folic acid","Rare","3358421"
"FRAXB","6978144-7558235","Xp22.31","Aphidicolin","Common","11746990"
"FRAXC","29721307-32743792","Xq22.1","Aphidicolin","Common","18253029"
"FRAXD","140300001-142100000","Xq27.2","Aphidicolin","Common","3358421"
"FRAXE","147100001-155270560","Xq28","Folic acid","Rare","8334699"
"FRAXF","147100001-155270560","Xq28","Folic acid","Rare","8499907"
